USER           PID %CPU %MEM   RSS TT       STAT  STARTED     TIME CMD
root            31  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/2:0H-events_highpri]
root            29  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/2]
root            28  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/2]
root            27  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/2]
root            26  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/2]
root            25  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/1:0H-events_highpri]
root            23  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/1]
root            22  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/1]
root            21  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/1]
root            20  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/1]
root            19  0.0  0.0     0 ?        S    19:34:05 00:00:00 [cpuhp/0]
root            17  0.0  0.0     0 ?        S    19:34:05 00:00:00 [idle_inject/0]
root            16  0.0  0.0     0 ?        S    19:34:05 00:00:00 [migration/0]
root            15  0.0  0.0     0 ?        I    19:34:05 00:00:03 [rcu_preempt]
root            14  0.0  0.0     0 ?        S    19:34:05 00:00:00 [ksoftirqd/0]
root            13  0.0  0.0     0 ?        I    19:34:05 00:00:00 [rcu_tasks_trace_kthread]
root            12  0.0  0.0     0 ?        I    19:34:05 00:00:00 [rcu_tasks_rude_kthread]
root            11  0.0  0.0     0 ?        I    19:34:05 00:00:00 [rcu_tasks_kthread]
root            10  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [mm_percpu_wq]
root             8  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [kworker/0:0H-events_highpri]
root             6  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [netns]
root             5  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [slub_flushwq]
root             4  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [rcu_par_gp]
root             3  0.0  0.0     0 ?        I<   19:34:05 00:00:00 [rcu_gp]
root             2  0.0  0.0     0 ?        S    19:34:05 00:00:00 [kthreadd]
