USER           PID %CPU %MEM   RSS TT       STAT  STARTED     TIME CMD
fannybaws    15489  0.0  0.1 39460 ?        Sl   19:46:48 00:00:00 /usr/bin/startplasma-x11
fannybaws    30651  0.0  0.1 39192 ?        Sl   20:57:39 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -parentBuildID 20230609063420 -prefsLen 33359 -prefMapSize 238609 -appDir /snap/firefox/2760/usr/lib/firefox/browser {638e6232-4143-4abe-9837-cbb6523fd3e0} 30433 true socket
root        117184  0.2  0.1 39032 ?        Ssl  21:41:59 00:00:01 /usr/lib/snapd/snapd
fannybaws    16021  0.0  0.1 38892 ?        Sl   19:46:53 00:00:00 /usr/bin/akonadiserver
fannybaws    15717  0.0  0.1 38704 ?        Sl   19:46:48 00:00:00 /usr/bin/plasma_session
blackbeard   21068  0.0  0.1 38508 ?        Sl   20:10:01 00:00:00 /usr/bin/plasma_session
fannybaws    31187  0.0  0.1 37876 ?        Sl   20:57:50 00:00:00 /snap/firefox/2760/usr/lib/firefox/firefox -contentproc -parentBuildID 20230609063420 -sandboxingKind 0 -prefsLen 39882 -prefMapSize 238609 -appDir /snap/firefox/2760/usr/lib/firefox/browser {a85ce2a1-063b-4277-a745-c47ea5af6737} 30433 true utility
fannybaws    15792  0.0  0.1 37120 ?        Ssl  19:46:48 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kactivitymanagerd
blackbeard   21167  0.0  0.1 36604 ?        Ssl  20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kactivitymanagerd
blackbeard   26942  0.3  0.1 32224 ?        Ssl  20:42:47 00:00:14 /usr/bin/ksystemstats
fannybaws    16024  0.0  0.1 28440 ?        S<sl 19:46:53 00:00:06 /usr/bin/pulseaudio --daemonize=no --log-target=journal
fannybaws    15725  0.0  0.1 26996 ?        Ss   19:46:48 00:00:00 kdeinit5: Running...
blackbeard   21916  0.0  0.1 26824 ?        Sl   20:10:33 00:00:00 /usr/bin/snap userd
fannybaws    16618  0.0  0.1 26756 ?        Sl   19:46:55 00:00:00 /usr/bin/snap userd
blackbeard   21075  0.0  0.1 26748 ?        Ss   20:10:01 00:00:00 kdeinit5: Running...
admin        11100  0.0  0.1 26572 ?        Sl   19:37:52 00:00:00 /usr/bin/snap userd
systemd-c+  106790  0.0  0.1 25156 ?        Ss   21:41:28 00:00:00 postgres
fannybaws    15848  0.0  0.0 24120 ?        Sl   19:46:48 00:00:00 /usr/bin/gmenudbusmenuproxy
blackbeard   21238  0.0  0.0 24000 ?        Sl   20:10:01 00:00:00 /usr/bin/gmenudbusmenuproxy
fannybaws    15822  0.0  0.0 23120 ?        Sl   19:46:48 00:00:00 /usr/bin/xembedsniproxy
blackbeard   21176  0.0  0.0 23104 ?        Sl   20:10:01 00:00:00 /usr/bin/xembedsniproxy
root          1590  0.0  0.0 23080 ?        Ssl  19:34:14 00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root          1521  0.0  0.0 22772 ?        Ssl  19:34:14 00:00:00 /opt/cisco/anyconnect/bin/vpnagentd -execv_instance
blackbeard   26958  0.0  0.0 21924 ?        S    20:42:48 00:00:03 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1006/ksystemstatsIcirbg.1.slave-socket
fannybaws    15910  0.0  0.0 21840 ?        Ssl  19:46:49 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kscreen_backend_launcher
blackbeard   21284  0.0  0.0 21804 ?        Ssl  20:10:01 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kscreen_backend_launcher
blackbeard   26962  0.0  0.0 21760 ?        S    20:42:48 00:00:03 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1006/ksystemstatsQgLEyM.3.slave-socket
blackbeard   26960  0.0  0.0 21760 ?        S    20:42:48 00:00:03 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1006/ksystemstatsjLtlwZ.2.slave-socket
blackbeard   22589  0.0  0.0 21664 ?        S    20:11:02 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1006/kded5AlaKsR.1.slave-socket
fannybaws    17747  0.0  0.0 21516 ?        S    19:47:49 00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1000/kded5XRzKIr.1.slave-socket
